,0_Model_ID,0_train,0_train_task,0_ablation,0_exp_dir,0_model,0_seed,0_dataset,1_task,2_val_acc,2_best_epoch,3_backbone,3_batch_size,3_lr,3_l0_init,3_l0_stages,2_test_L0,2_test_acc,2_test_loss,5_test_L0_t_103,5_test_acc_t_103,5_test_loss_t_103,5_test_L0_t_104,5_test_acc_t_104,5_test_loss_t_104,5_test_L0_t_105,5_test_acc_t_105,5_test_loss_t_105,5_test_L0_t_108,5_test_acc_t_108,5_test_loss_t_108,5_test_L0_t_109,5_test_acc_t_109,5_test_loss_t_109
22,4.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,108,,,wideresnet50,64.0,0.001,-1.0,None,0.0,0.99609375,0.08738556504249573,,,,,,,,,,0.0,0.99609375,0.08738556504249573,,,
23,4.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,109,,,wideresnet50,64.0,0.001,-1.0,None,0.0,0.9853515625,0.1250467300415039,,,,,,,,,,,,,0.0,0.9853515625,0.1250467300415039
24,5.0,1.0,103,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,103,1.0,19.0,wideresnet50,32.0,0.0001,-1.0,None,,,,,,,,,,,,,,,,,,
25,5.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,103,,,wideresnet50,32.0,0.0001,-1.0,None,0.0,0.9970703125,0.0878499299287796,0.0,0.9970703125,0.0878499299287796,,,,,,,,,,,,
26,5.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,104,,,wideresnet50,32.0,0.0001,-1.0,None,0.0,0.4755859375,2.1912295818328857,,,,0.0,0.4755859375,2.1912295818328857,,,,,,,,,
27,5.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,105,,,wideresnet50,32.0,0.0001,-1.0,None,0.0,0.2412109375,2.114799976348877,,,,,,,0.0,0.2412109375,2.114799976348877,,,,,,
28,5.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,108,,,wideresnet50,32.0,0.0001,-1.0,None,0.0,0.994140625,0.09080453962087631,,,,,,,,,,0.0,0.994140625,0.09080453962087631,,,
29,5.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,109,,,wideresnet50,32.0,0.0001,-1.0,None,0.0,0.998046875,0.1000366061925888,,,,,,,,,,,,,0.0,0.998046875,0.1000366061925888
30,6.0,1.0,103,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,103,1.0,38.0,wideresnet50,64.0,0.0001,-1.0,None,,,,,,,,,,,,,,,,,,
31,6.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,103,,,wideresnet50,64.0,0.0001,-1.0,None,0.0,0.99609375,0.0924283117055893,0.0,0.99609375,0.0924283117055893,,,,,,,,,,,,
32,6.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,104,,,wideresnet50,64.0,0.0001,-1.0,None,0.0,0.255859375,2.125072479248047,,,,0.0,0.255859375,2.125072479248047,,,,,,,,,
33,6.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,105,,,wideresnet50,64.0,0.0001,-1.0,None,0.0,0.39179688692092896,2.057586669921875,,,,,,,0.0,0.39179688692092896,2.057586669921875,,,,,,
34,6.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,108,,,wideresnet50,64.0,0.0001,-1.0,None,0.0,0.9990234375,0.0846261978149414,,,,,,,,,,0.0,0.9990234375,0.0846261978149414,,,
35,6.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,109,,,wideresnet50,64.0,0.0001,-1.0,None,0.0,0.9951171875,0.13696718215942383,,,,,,,,,,,,,0.0,0.9951171875,0.13696718215942383
36,7.0,1.0,103,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,103,0.593999981880188,14.0,wideresnet50,32.0,1e-05,-1.0,None,,,,,,,,,,,,,,,,,,
37,7.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,103,,,wideresnet50,32.0,1e-05,-1.0,None,0.0,0.5869140625,0.9996668100357056,0.0,0.5869140625,0.9996668100357056,,,,,,,,,,,,
38,7.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,104,,,wideresnet50,32.0,1e-05,-1.0,None,0.0,0.8076171875,0.6906291246414185,,,,0.0,0.8076171875,0.6906291246414185,,,,,,,,,
39,7.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,105,,,wideresnet50,32.0,1e-05,-1.0,None,0.0,0.3671875,1.5878710746765137,,,,,,,0.0,0.3671875,1.5878710746765137,,,,,,
40,7.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,108,,,wideresnet50,32.0,1e-05,-1.0,None,0.0,0.5966796875,1.1056432723999023,,,,,,,,,,0.0,0.5966796875,1.1056432723999023,,,
41,7.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,109,,,wideresnet50,32.0,1e-05,-1.0,None,0.0,0.158203125,1.6092164516448975,,,,,,,,,,,,,0.0,0.158203125,1.6092164516448975
42,8.0,1.0,103,,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,103,0.6000000238418579,91.0,wideresnet50,64.0,1e-05,-1.0,None,,,,,,,,,,,,,,,,,,
43,8.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,103,,,wideresnet50,64.0,1e-05,-1.0,None,0.0,0.551562488079071,1.1470457315444946,0.0,0.551562488079071,1.1470457315444946,,,,,,,,,,,,
44,8.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,104,,,wideresnet50,64.0,1e-05,-1.0,None,0.0,0.708984375,0.8553861379623413,,,,0.0,0.708984375,0.8553861379623413,,,,,,,,,
45,8.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,105,,,wideresnet50,64.0,1e-05,-1.0,None,0.0,0.39472657442092896,1.642974615097046,,,,,,,0.0,0.39472657442092896,1.642974615097046,,,,,,
46,8.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,108,,,wideresnet50,64.0,1e-05,-1.0,None,0.0,0.560351550579071,1.2134716510772705,,,,,,,,,,0.0,0.560351550579071,1.2134716510772705,,,
47,8.0,0.0,103,None,/gpfs/data/epavlick/mlepori/projects/Compositional_Subnetworks/Models/wide_resnet50/ConIn_Training/,CNN,0.0,CVRTDataModule,109,,,wideresnet50,64.0,1e-05,-1.0,None,0.0,0.24453124403953552,1.6807799339294434,,,,,,,,,,,,,0.0,0.24453124403953552,1.6807799339294434
